,DEPARTMENT,SECTION,LOCATION,DETAIL LOCATION,TANGGAL TERIMA BARANG,JENIS  MOBIL,BULAN ASET,TAHUN ASET,SPESIFIKASI,PIC LANGSUNG,HARGA BELI,MERK,TYPE,NOPOL,NOPOL LAMA,NO RANGKA,NO MESIN,TAHUN REGISTRASI,TAHUN PEMBUATAN,KETOGORI USIA,USIA,KEBERADAAN BPKB,NO BPKB,NAMA DI BPKB,ALAMAT BPKB,KEBERADAAN FAKTUR & SERTIFIKAT,NO FAKTUR,WARNA KABIN,WARNA BOX,WARNA PLAT,TIPE KAROSERI / BOX,PANJANG KAROSERI LUAR,LEBAR KAROSERI LUAR,TINGGI KAROSERI LUAR,KEBERADAAN PAJAK,NO PAJAK,NAMA PAJAK,ALAMAT PAJAK,STATUS STNK,NO STNK,NAMA STNK,ALAMAT STNK,VENDOR GPS,GPS,IMEI/SN,NO HP GPS,JENIS JARINGAN,PAJAK,STNK,BIAYA PAJAK,JATUH TEMPO PAJAK,JATUH TEMPO STNK,MONTH,NO KEUR,EXP KIR,JATUH TEMPO KIR,MONTH,STATUS KEUR,SO 1 JULI 25,KEY
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,AAM-PALEMBANG,AAM-PALEMBANG,,PICK UP BOX,09,2019,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9787 PCP,,MHYHDC61TKJ-117207,K15BT-1073094,,2019,6-10 Tahun,7,ADA,P-06205811,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4083304,PUTIH SILVER,,PUTIH,ALUMUNIUM,210,150,170,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,14/10/2026,14/10/2029,Rp2.595.100,-228,-1.324,10,DE.041.024.581,14/03/2026,-14,3,BODONG,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SURABAYA,SURABAYA,,PICK UP BOX,09,2019,CARRY,,,SUZUKI,AEV415PCL TYPE 2 (4X2) M/T,B 9789 PCP,,MHYHDC61TKJ-115948,K15BT-1069542,,2019,6-10 Tahun,7,ADA,P-06205812,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,W4083299,PUTIH SILVER,,PUTIH,ALUMUNIUM,255,173,170,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,14/10/2026,14/10/2029,Rp2.595.100,-228,-1.324,10,DE.041.024.582,27/08/2025,185,8,BODONG,OK,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,WING BOX,09,2018,,,,MITSUBISHI,FU418U,B 9766 SYK,,FU418U530005,6D22-172890,,1998,16 Tahun Lebih,28,ADA,P-03696592,PT. LESTARI JAYA RAYA,JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,FA.0184/BIU-AKIN/VII/03,MERAH,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,TIDAK ADA,,,,09/10/2026,09/10/2028,Rp1.150.000,-223,-954,10,JKT596961,29/05/2025,275,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,PALOPO,PALOPO,,PICK UP BOX,09,2019,CARRY,,,SUZUKI,AEV415P CL (4X2) M/T,DD 8038 SW,B 9270 PCP,MHYHDC61TKJ-109731,K15BT-1053445,,2019,6-10 Tahun,7,ADA,P-04355482,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,W4052954,PUTIH,,HITAM,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,24/10/2026,24/10/2029,Rp3.114.480,-238,-1.334,10,DE011043231,21/02/2026,7,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,CONTRACT LOGISTICS,CABANG,PPG - MAKASSAR,PPG - MAKASSAR,,PICK UP BOX,00,2019,CARRY,,,SUZUKI,AEV415P CL (4X2) M/T,DD 8039 SW,B 9268 PCP,MHYHDC61TKJ-109671,K15BT-1053448,,2019,6-10 Tahun,7,ADA,P-04355747,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,W4052956,PUTIH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,24/10/2025,24/10/2029,Rp2.874.089,127,-1.334,10,DE011043230,13/07/2025,230,7,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,TORAJA,TORAJA,,PICK UP BOX,09,2019,CARRY,,,SUZUKI,AEV415P CL (4X2) M/T,DD 8040 SW,B 9243 PCP,MHYHDC61TKJ-105394,K15BT-1043902,,2019,6-10 Tahun,7,ADA,P-04241135,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,W4065982,PUTIH SILVER,,HITAM,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,24/10/2026,24/10/2029,Rp1.642.611,-238,-1.334,10,DE611643041,27/04/2026,-58,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,CONTRACT LOGISTICS,CABANG,JAKARTA,AAM-NDC CIKARANG,07/04/2021,WING BOX,04,2021,,,,HINO,FG8JS1A-BGJ 4X2,B 9830 TQA,B 9895 FXT,MJEFG8JS1JJB11795,J08EUGJ-66623,,2018,6-10 Tahun,8,ADA,V-02315744,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,FN314354,HIJAU,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,085193635379,,25/10/2026,25/10/2029,Rp9.235.000,-239,-1.335,10,BKS60347A,02/07/2026,-124,7,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,PICK UP BOX,00,2014,,,,SUZUKI,GC415T (4X2) M/T,B 9144 PCJ,,MHYGDN41TEJ419090,G15AID-339931,,2014,11-15 Tahun,12,ADA,L-08436521,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4605551,PUTIH SILVER,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,869604067437474,085193635374,,31/10/2026,31/10/2029,Rp1.922.400,-245,-1.341,10,JKT1440149,21/04/2026,-52,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,PICK UP BOX,00,2014,,,,SUZUKI,GC415T (4X2) M/T,B 9497 SYO,,MHYGDN41TEJ420431,G15AID-340870,,2014,11-15 Tahun,12,ADA,L-08436484,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4605553,PUTIH SILVER,,KUNING,ALUMUNIUM,255,175,169,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - FULL SENSOR,864507038992086,08115971872C,,31/10/2026,31/10/2029,ETLE,-245,-1.341,10,JKT1439526,10/03/2026,-10,3,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,PICK UP BOX,00,2014,,,,SUZUKI,GC415T (4X2) M/T,B 9489 SYO,,MHYGDN41TEJ420436,G15AID-340871,,2014,11-15 Tahun,12,ADA,L-08436551,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,R4605552,PUTIH SILVER,,KUNING,,,,,,,,,,,PT. LESTARI JAYA RAYA,JL. LETJEN SUPRAPTO NO.121 BLOK B3 RT01 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - FULL SENSOR,868998036286710,08115971880C,,31/10/2026,31/10/2029,Rp587.900,-245,-1.341,10,JKT1439525,27/02/2026,1,2,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,YOGYAKARTA,YOGYAKARTA,,PICK UP BOX,00,2014,,,,SUZUKI,GC415T (4X2) M/T,B 9142 PCJ,,MHYGDN41TEJ-420443,G15AID-340882,,2014,11-15 Tahun,12,ADA,L-08436824,PT. LESTARI JAYA RAYA,JL. TIPAR CAKUNG NO.6 KEL. CAKUNG BARAT KEC.CAKUNG JAKARTA TIMUR,ADA,R4605556,PUTIH SILVER,,PUTIH,ALUMUNIUM,255,174,169,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,JL. TIPAR CAKUNG NO.6 KEL. CAKUNG BARAT KEC.CAKUNG JAKARTA TIMUR,,ADA - BIASA,,,,31/10/2026,31/10/2029,Rp1.922.400,-245,-1.341,10,JKT1439650,15/04/2026,-46,4,RESMI,ok,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,MEDAN,MEDAN,14/12/2024,CDD LONG,,2024,DYNA EURO 4 136MDL,,,HINO,XZU359R-HKMRBD8 42MT,B 9205 TXX,,MJEECB0F2R5004360,N04CWYJ32291,2024,2024,2-3 Tahun,2,LEASING,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,BESI,"7,500 MM","2,000 MM","3,180 MM",ADA,D0343328,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,18033934.H,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,05/11/2026,05/11/2029,Rp1.056.100,-250,-1.346,11,JKT2426589,24/04/2026,-55,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,WING BOX,00,2014,,,,NISSAN,CD45CV,B 9571 PRU,,CD45CV10942,PF6300743A,,2005,16 Tahun Lebih,21,ADA,Q-06386136,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,72/FA-GSM/2010,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,085192581326,,12/11/2026,12/11/2029,Rp6.631.000,-257,-1.353,11,BKS163184,15/01/2026,44,1,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,PALEMBANG,PALEMBANG,,CDE STANDART,11,2014,,,,TOYOTA,DYNA 110 ST,B 9199 PCJ,,MHFC1JUX1E5024168,W04DT-PJ56787,,2014,11-15 Tahun,12,ADA,L-08471214,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00025/JUX1/2014,MERAH,,HITAM,BESI,331,182,207,DI TILANG,,,,DI TILANG,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,12/11/2026,12/11/2029,Rp4.120.300,-257,-1.353,11,JKT1440406,03/03/2026,-3,3,RESMI,,FLEET
PT. PELANGI SUKSES CEMERLANG,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDE STANDART,11,2014,,,,TOYOTA,DYNA 110 ST,B 9238 PCJ,,MHFC1JUX1E5021649,W04DT-PJ51127,,2014,11-15 Tahun,12,ADA,L-08475198,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00022/JUX1/2014,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036257711,08115989512C,,15/11/2026,15/11/2029,Rp3.569.900,-260,-1.356,11,JKT1440452,24/03/2026,-24,3,RESMI,OK,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDE STANDART,11,2014,,,,TOYOTA,DYNA 110 ST,B 9239 PCJ,,MHFC1JUX1E5022096,W04DT-PJ51815,,2014,11-15 Tahun,12,ADA,L-08475199,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00024/JUX1/2014,MERAH,,PUTIH,ALUMUNIUM,330,182,213,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,15/11/2026,15/11/2029,Rp3.569.900,-260,-1.356,11,JKT1440453,30/04/2026,-61,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,MEDAN,MEDAN,,CDE STANDART,11,2014,,,,TOYOTA,DYNA 110 ST,B 9237 PCJ,OK,MHFC1JUX1E5021937,W04DT-PJ51591,,2014,11-15 Tahun,12,ADA,L-08475197,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,JGF/00023/JUX1/2014,MERAH,,PUTIH,BESI,331,182,213,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,15/11/2026,15/11/2029,Rp3.569.900,-260,-1.356,11,JKT1440454,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SURABAYA,SURABAYA,,PICK UP BOX,00,2014,,,,SUZUKI,GC415T (4X2) M/T,B 9328 PCJ,,MHYGDN41VEJ-401082,G15AID-337020,,2014,11-15 Tahun,12,ADA,L-08520928,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4620775,PUTIH,,PUTIH,ALUMUNIUM,220,150,145,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - BIASA,,,,12/12/2026,15/11/2029,Rp1.835.600,-287,-1.356,12,JKT1444396,12/06/2026,-104,6,RESMI,OK,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,DDC-MONOTARO,PALEMBANG,,CDD LONG,3,2024,DYNA EURO 4 136MDL,,,HINO,XZU359R-HKMRBD8 42MT,B 9221 TXX,,MJEECB0F4R5004361,N04CWYJ32292,2024,2024,2-3 Tahun,2,LEASING,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,BESI,"7,500 MM","2,000 MM","3,150 MM",ADA,,,,,,,,,ADA - FULL SENSOR,,,,18/11/2026,18/11/2029,Rp1.651.500,-263,-1.359,11,JKT2427524,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,,CDD STANDART,00,2004,,,,MITSUBISHI,FE 349,B 9499 XU,,MHMFE349E4R073544,4D34-403472,,2004,16 Tahun Lebih,22,ADA,D-1503578,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,001514/II/2004,MERAH,,PUTIH,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,861292052819506,085192581309,,29/11/2026,29/11/2029,Rp2.550.000,-274,-1.370,11,JKT631796,16/04/2026,-47,4,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,MEDAN,MEDAN,,CDE STANDART,03,2022,,,,MITSUBISHI,FE71,B 9386 TRO,DK 8021 BE,MHMFE71P1JK062948,4D34TS77036,,2018,6-10 Tahun,8,ADA,V-02513433,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,001951/0419/01,MERAH,,PUTIH,,,,,,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,862273048247068,085153344315,,29/11/2026,29/11/2029,Rp6.091.000,-274,-1.370,11,DPR.89563K,02/12/2024,453,12,BODONG,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,SURABAYA,SURABAYA,,CDD STANDART,00,2004,,,,MITSUBISHI,FE 349,B 9495 XU,,MHMFE349E4RO73535,4D34-403439,,2004,16 Tahun Lebih,22,ADA,D-15035577,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,001652/11/2004,MERAH,,PUTIH,BESI,440,204,215,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,29/11/2026,29/11/2029,Rp2.590.000,-274,-1.370,11,JKT631879,12/06/2026,-104,6,RESMI,OK,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,CDD LONG,00,2014,,,,TOYOTA,DYNA 130 XT LONG,DD 8104 SW,B 9076 PCJ,MHFC1JU43E5109490,W04DT-RR08095,,2014,11-15 Tahun,12,ADA,L-04691656,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",ADA,JGF/00099/JU43/2014,MERAH,,HITAM,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,,PT. LESTARI JAYA RAYA,"JL. LETJEN SUPRAPTO NO.121 BLOK B4 CEMPAKA BARU, KEMAYORAN, JAKARTA PUSAT",,ADA - FULL SENSOR,864606044207883,08115971766C,,05/12/2026,05/12/2029,Rp5.777.784,-280,-1.376,12,JKT1438462,12/12/2024,443,12,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,OPERASIONAL,CABANG,MAKASSAR,MAKASSAR,,PICK UP BOX,00,2014,,,,SUZUKI,GC 415 T (4X2) M/T,DD 8102 SW,B 9146 PCJ,MHYGDN41TEJ-420068,G15AID-340601,,2014,11-15 Tahun,12,ADA,L-08436602,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,R4605555,PUTIH SILVER,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,868998036286587,08115971583C,,05/12/2025,05/12/2029,Rp2.325.161,85,-1.376,12,JKT1440150,21/10/2025,130,10,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,CONTRACT LOGISTICS,CABANG,PPG - MAKASSAR,PPG - MAKASSAR,,PICK UP BOX,00,2019,CARRY,,,SUZUKI,AEV415P CL (4X2) M/T,DD 8103 SW,B 9542 PCP,MHYHDC61TKJ-109747,K15BT-1053508,,2019,6-10 Tahun,7,ADA,P-04378997,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,W4052955,PUTIH,,HITAM,,,,,,,,,,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,05/12/2026,05/12/2029,Rp2.874.089,-280,-1.376,12,DE011043232,05/08/2025,207,8,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,BANDUNG,BANDUNG,,BLIND VAN,12,2019,,,,SUZUKI,GC 415 V (4X2) M/T,B 9077 PCQ,,MHYGDN41VKJ401168,G15AID-433266,2019,2019,6-10 Tahun,7,ADA,P-06944460,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,ADA,W4106835,PUTIH,,PUTIH,ALUMUNIUM,3,2,2,ADA,,,,ADA,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,09/12/2026,09/12/2029,Rp2.356.400,-284,-1.380,12,JKT1931869,05/05/2026,-66,5,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,CABANG,JAKARTA,BANJARMASIN,,CDD LONG,,2024,DYNA EURO 4 136MDL,,,HINO,XZU359-HKMRBD842MT,B 9267 TXX,,MJEECB0F4R5004666,N04CWYJ33277,2024,2024,2-3 Tahun,2,LEASING,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,BESI,"7,500 MM","2,000 MM","3,200 MM",ADA,D0723409,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,18900218.H,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,10/12/2026,10/12/2029,Rp1.056.100,-285,-1.381,12,JKT2430049,02/06/2026,-94,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA,OPERASIONAL,HEAD OFFICE,JAKARTA,JAKARTA,26/12/2024,CDD LONG,,2024,DYNA EURO 4 136MDL,,,HINO,XZU359R-HKMRBD8 42MT,B 9268 TXX,,MJEECB0F2R5004665,N04CWYJ33276,2024,2024,2-3 Tahun,2,LEASING,,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,,MERAH,,KUNING,BESI,"7,500 MM","2,000 MM","3,200 MM",ADA,D0723408,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",ADA,18900217.H,PT. LESTARI JAYA RAYA,"JL. TIPAR CAKUNG NO.6 RT006 RW005, KEL. CAKUNG BARAT, KEC. CAKUNG, JAKARTA TIMUR",,ADA - FULL SENSOR,,,,10/12/2026,10/12/2029,Rp1.651.500,-285,-1.381,12,JKT2430048,16/06/2026,-108,6,RESMI,,FLEET
PT. LESTARI JAYA RAYA SENTOSA,CONTRACT LOGISTICS,CABANG,APL - MAKASSAR,APL - MAKASSAR,,PICK UP BOX,12,2018,DEL VAN,,,SUZUKI,GC415T (4X2) MT,DD 8117 SW,B 9980 PCN,MHYGDN41TJJ410488,G15AID420831,,2018,6-10 Tahun,8,ADA,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,,PUTIH,,PUTIH,#N/A,#N/A,#N/A,#N/A,#N/A,,,,#N/A,,PT. LESTARI JAYA RAYA,RUKO R-312 JL. LETJEND SUPRAPTO NO.121 RT04 RW01 KEL. CEMPAKA BARU KEC. KEMAYORAN BARAT JAKARTA PUSAT,,ADA - BIASA,,,,11/12/2026,11/12/2029,Rp2.644.800,-286,-1.382,12,JKT1828856,09/06/2026,-101,6,RESMI,,FLEET
